4
210, 270
210, 270
245, 270
280, 270
315, 270
350, 270
385, 270
350, 285
350, 240
350, 255
245, 255
245, 285
245, 240
245, 225
245, 210
350, 225
350, 210
245, 210
245, 210
280, 210
280, 210
315, 210
245, 240
245, 240
245, 240
245, 240
245, 240
245, 240
280, 240
315, 240
350, 240
385, 240
210, 240
210, 195
175, 165
175, 180
350, 195
385, 195
210, 180
245, 195
350, 180
210, 180
210, 180
245, 180
385, 165
385, 180
210, 165
385, 180
420, 180
420, 165
175, 300
420, 315
420, 285
420, 285
420, 300
140, 285
175, 285
175, 315
455, 285
175, 255
420, 255
245, 300
350, 300
350, 315
245, 315
245, 315
280, 315
315, 315
280, 330
315, 330
105, 270
105, 255
140, 255
455, 255
490, 255
490, 270
385, 225
420, 225
420, 210
140, 225
175, 225
175, 210
420, 225
420, 225
455, 225
245, 150
280, 150
315, 150
315, 150
350, 150
245, 135
350, 135
385, 120
420, 105
210, 105
175, 120
210, 105
210, 120
385, 120
420, 120
420, 120
455, 120
385, 105
175, 105
140, 105
140, 120
105, 120
455, 105
490, 120
175, 90
175, 90
210, 90
210, 75
385, 90
385, 90
385, 90
385, 90
385, 75
420, 90
210, 105
245, 105
280, 105
315, 105
350, 105
280, 90
280, 90
315, 90
