1
35, 375
70, 375
105, 375
140, 375
70, 390
140, 390
175, 375
70, 360
70, 345
105, 345
140, 345
140, 360
70, 330
140, 330
70, 315
105, 315
140, 315
70, 300
140, 300
70, 285
105, 285
140, 285
35, 285
0, 285
175, 285
210, 285
35, 270
0, 255
175, 270
210, 255
105, 270
105, 255
70, 255
140, 255
105, 240
105, 225
70, 225
35, 225
0, 225
140, 225
175, 225
210, 225
280, 375
315, 375
350, 375
315, 360
280, 345
315, 330
315, 315
315, 300
350, 330
350, 315
350, 300
420, 360
420, 345
420, 330
420, 315
455, 315
490, 315
525, 315
560, 315
490, 330
490, 345
490, 360
490, 375
490, 390
560, 330
560, 345
560, 360
490, 300
490, 285
490, 270
490, 255
490, 240
490, 225
455, 225
420, 225
420, 240
420, 255
525, 225
560, 225
560, 240
560, 255
420, 270
560, 270
315, 285
350, 285
